City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Talcahuano,CL,2021-12-02 14:12:00,-36.7167,-73.1167,60.48,72,0,9.22
116,Valdepenas,ES,2021-12-02 14:12:41,38.7621,-3.3848,50.09,49,56,20.74
117,Jambi,ID,2021-12-02 14:12:41,-1.6,103.6167,76.05,93,100,3.24
118,Yaring,TH,2021-12-02 14:12:41,6.8662,101.3689,78.3,81,100,12.08
119,Anadyr,RU,2021-12-02 14:12:41,64.75,177.4833,6.06,92,100,11.61
120,Bambous Virieux,MU,2021-12-02 14:11:55,-20.3428,57.7575,82.22,78,75,11.5
121,Sioux Lookout,CA,2021-12-02 14:12:42,50.1001,-91.917,19.78,94,99,6.02
122,Ust-Nera,RU,2021-12-02 14:12:42,64.5667,143.2,-20.72,96,100,6.22
123,Vigrestad,NO,2021-12-02 14:12:42,58.5667,5.7,35.28,60,84,25.7
124,Anshun,CN,2021-12-02 14:12:42,26.25,105.9333,47.35,79,100,5.95
125,Sindor,RU,2021-12-02 14:12:43,62.8629,51.8905,18.16,94,100,5.73
126,Kaitangata,NZ,2021-12-02 14:12:43,-46.2817,169.8464,54.19,97,88,4.85
127,Yar-Sale,RU,2021-12-02 14:12:43,66.8333,70.8333,4.96,95,100,16.24
128,Yellowknife,CA,2021-12-02 14:11:15,62.456,-114.3525,-0.58,94,90,11.5
129,Saldanha,ZA,2021-12-02 14:12:43,-33.0117,17.9442,62.2,64,3,20.24
130,Brandfort,ZA,2021-12-02 14:12:44,-28.7001,26.4597,80.01,63,95,7.81
131,Vila,PT,2021-12-02 14:12:44,42.0304,-8.1588,46.33,74,89,7.65
132,Clyde River,CA,2021-12-02 14:12:44,70.4692,-68.5914,5.23,85,100,4.61
133,Mount Isa,AU,2021-12-02 14:12:44,-20.7333,139.5,91.17,19,7,11.5
134,Pochutla,MX,2021-12-02 14:12:45,15.7432,-96.4661,75.81,47,70,1.48
135,Saint-Georges,GD,2021-12-02 14:12:45,12.0564,-61.7485,83.88,70,40,20.71
136,Yining,CN,2021-12-02 14:12:45,29.0361,114.5636,44.71,52,16,1.19
137,Jumla,NP,2021-12-02 14:12:46,29.2747,82.1838,45.37,99,100,3.33
138,Rapid Valley,US,2021-12-02 14:12:46,44.0625,-103.1463,65.25,53,1,4.61
139,Kudat,MY,2021-12-02 14:12:46,6.8837,116.8477,79.66,81,100,6.8
140,Quimperle,FR,2021-12-02 14:12:46,47.8667,-3.55,49.95,81,75,11.5
141,Naze,JP,2021-12-02 14:12:47,28.3667,129.4833,56.07,72,17,8.1
142,Chabahar,IR,2021-12-02 14:12:47,25.2919,60.643,76.21,65,1,9.57
143,Matara,LK,2021-12-02 14:08:10,5.9485,80.5353,78.55,84,20,5.28
144,Portland,US,2021-12-02 14:10:41,45.5234,-122.6762,53.62,91,75,1.01
145,Vardo,NO,2021-12-02 14:12:47,70.3705,31.1107,28.38,86,75,19.57
146,Port Hardy,CA,2021-12-02 14:12:47,50.6996,-127.4199,38.75,75,100,7.27
147,Maragogi,BR,2021-12-02 14:12:48,-9.0122,-35.2225,86.5,55,100,12.33
148,Algeciras,ES,2021-12-02 14:12:48,36.1333,-5.4505,60.48,48,20,12.66
149,Ennis,IE,2021-12-02 14:12:48,52.8436,-8.9864,48.13,81,75,8.05
150,Whyalla,AU,2021-12-02 14:12:48,-33.0333,137.5833,62.49,63,10,16.11
151,Aklavik,CA,2021-12-02 14:12:49,68.2191,-135.0107,-18.65,92,100,17.54
152,Mpraeso,GH,2021-12-02 14:12:49,6.5932,-0.7346,92.66,27,100,5.84
153,Baijiantan,CN,2021-12-02 14:12:49,45.6333,85.1833,27.39,52,23,3.56
154,Bubaque,GW,2021-12-02 14:12:49,11.2833,-15.8333,81.45,52,4,2.89
155,Tuatapere,NZ,2021-12-02 14:12:50,-46.1333,167.6833,55.81,92,94,4.16
156,Dudinka,RU,2021-12-02 14:12:50,69.4058,86.1778,-7.38,92,100,11.34
157,Vadakku Valliyur,IN,2021-12-02 14:12:50,8.3833,77.65,77.5,88,99,4.29
158,Erenhot,CN,2021-12-02 14:12:50,43.6475,111.9767,23.99,53,1,11.21
159,Dikson,RU,2021-12-02 14:12:51,73.5069,80.5464,-9.83,96,100,7.43
160,Ulladulla,AU,2021-12-02 14:12:51,-35.35,150.4667,67.87,95,32,3.8
161,Omboue,GA,2021-12-02 14:12:51,-1.5746,9.2618,81.93,77,98,10.36
162,Puerto Rondon,CO,2021-12-02 14:12:51,6.2805,-71.1,80.33,69,100,10.83
163,Riberalta,BO,2021-12-02 14:12:52,-10.9833,-66.1,84.06,66,100,4.92
164,Souillac,MU,2021-12-02 14:12:52,-20.5167,57.5167,82.36,78,75,11.5
165,Palmer,US,2021-12-02 14:12:52,42.1584,-72.3287,50.81,88,100,9.62
166,Komono,JP,2021-12-02 14:12:53,35.0,136.5167,43.61,65,0,2.89
167,Anchorage,US,2021-12-02 14:12:45,61.2181,-149.9003,13.68,79,90,5.75
168,Baykit,RU,2021-12-02 14:12:53,61.67,96.37,11.82,96,100,2.77
169,Marsa Matruh,EG,2021-12-02 14:12:53,31.3525,27.2453,64.98,52,61,8.72
170,Gunjur,GM,2021-12-02 14:12:53,13.2019,-16.7339,85.46,34,14,12.46
171,Vestmannaeyjar,IS,2021-12-02 14:12:54,63.4427,-20.2734,40.19,81,40,18.41
172,Lebu,CL,2021-12-02 14:12:54,-37.6167,-73.65,56.64,69,100,15.48
173,Bowen,AU,2021-12-02 14:12:54,-20.0167,148.2333,80.28,80,84,7.45
174,Fayaoue,NC,2021-12-02 14:12:54,-20.65,166.5333,79.92,78,95,16.02
175,Rawson,AR,2021-12-02 14:10:52,-43.3002,-65.1023,60.51,43,57,16.73
176,Broken Hill,AU,2021-12-02 14:12:55,-31.95,141.4333,69.04,44,53,25.37
177,Bargarh,IN,2021-12-02 14:12:55,21.3333,83.6167,68.77,48,33,2.48
178,Chuy,UY,2021-12-02 14:12:55,-33.6971,-53.4616,67.71,59,86,9.35
179,Churapcha,RU,2021-12-02 14:12:14,62.0025,132.4325,-25.56,95,39,9.08
180,Salsig,RO,2021-12-02 14:12:55,47.5333,23.3,45.93,90,90,5.75
181,Erzin,TR,2021-12-02 14:12:56,36.9559,36.2,63.32,39,0,1.52
182,Nouakchott,MR,2021-12-02 14:12:56,18.0858,-15.9785,87.73,24,100,13.38
183,Tocopilla,CL,2021-12-02 14:12:56,-22.092,-70.1979,69.73,62,15,8.68
184,Oum Hadjer,TD,2021-12-02 14:12:56,13.2954,19.6966,94.69,12,3,4.29
185,Touros,BR,2021-12-02 14:12:57,-5.1989,-35.4608,90.5,57,98,13.33
186,Maningrida,AU,2021-12-02 14:12:57,-12.0667,134.2667,82.62,65,100,3.42
187,Anuradhapura,LK,2021-12-02 14:12:57,8.3565,80.4173,74.43,95,92,4.54
188,Padang,ID,2021-12-02 14:12:57,-0.9492,100.3543,80.65,80,96,2.42
189,Talnakh,RU,2021-12-02 14:12:58,69.4865,88.3972,-7.8,93,100,6.17
190,Jinchang,CN,2021-12-02 14:12:58,38.4953,102.1739,30.56,21,5,2.89
191,Bassar,TG,2021-12-02 14:12:58,9.25,0.7833,98.22,11,78,5.84
192,Ancud,CL,2021-12-02 14:12:58,-41.8697,-73.8203,54.93,47,3,4.81
193,Konevo,RU,2021-12-02 14:12:59,62.1215,39.3192,19.26,95,100,5.99
194,Severo-Kurilsk,RU,2021-12-02 14:12:59,50.6789,156.125,32.77,69,94,33.24
195,Haines Junction,CA,2021-12-02 14:12:59,60.7522,-137.5108,2.55,99,100,2.13
196,Grimshaw,CA,2021-12-02 14:12:59,56.1834,-117.6027,32.02,59,36,24.45
197,Balezino,RU,2021-12-02 14:13:00,57.9796,53.0106,24.22,90,100,9.53
198,Katsuura,JP,2021-12-02 14:09:15,35.1333,140.3,51.91,59,95,19.06
199,Vila Franca Do Campo,PT,2021-12-02 14:13:00,37.7167,-25.4333,70.2,69,63,3.91
200,Vila Velha,BR,2021-12-02 14:10:49,-20.3297,-40.2925,80.94,79,20,17.27
201,Mustafakemalpasa,TR,2021-12-02 14:13:00,40.0353,28.4117,57.96,41,0,6.04
202,Riyadh,SA,2021-12-02 14:13:00,24.6877,46.7219,78.94,17,73,4.56
203,Thompson,CA,2021-12-02 14:13:01,55.7435,-97.8558,-12.5,94,100,3.91
204,Sutton,GB,2021-12-02 14:13:01,51.35,-0.2,42.33,70,40,1.01
205,Wenling,CN,2021-12-02 14:13:01,28.3669,121.36,43.92,60,6,4.94
206,Te Anau,NZ,2021-12-02 14:13:01,-45.4167,167.7167,53.73,98,100,1.7
207,Kassala,SD,2021-12-02 14:13:02,15.451,36.4,93.72,16,0,12.59
208,Sao Domingos Do Maranhao,BR,2021-12-02 14:13:02,-5.5758,-44.3853,92.35,49,56,2.75
209,Alta Floresta,BR,2021-12-02 14:13:02,-9.8756,-56.0861,82.24,70,85,2.82
210,Mozirje,SI,2021-12-02 14:13:02,46.3394,14.9633,41.14,95,100,2.08
211,Ottawa,CA,2021-12-02 14:11:24,45.4112,-75.6981,41.67,91,90,3.0
212,Klyuchi,RU,2021-12-02 14:13:03,52.2667,79.1667,27.91,72,27,16.42
213,Coihaique,CL,2021-12-02 14:13:03,-45.5752,-72.0662,54.21,46,20,4.61
214,Batagay-Alyta,RU,2021-12-02 14:13:03,67.8006,130.4114,-36.33,95,22,5.23
215,Weihai,CN,2021-12-02 14:13:03,37.5017,122.1136,47.3,53,61,22.17
216,Kearney,US,2021-12-02 14:12:35,40.6995,-99.0815,47.44,58,1,5.01
217,Harlingen,US,2021-12-02 14:13:04,26.1906,-97.6961,71.2,97,90,0.0
